     64 B00FAPF5U0	Candy Crush Saga
     62 B00992CF6W	Minecraft
     57 B00E8KLWB4	The Secret Society® - Hidden Mystery
     57 B00DR0PDNE	Google Chromecast HDMI Streaming Media Player
     42 B00L9B7IKE	The Girl on the Train: A Novel
     41 B00DJFIMW6	Minion Rush: Despicable Me Official Game
     41 B009UX2YAC	Subway Surfers
     39 B00AREIAI8	My Horse
     39 B0054JZC6E	101-in-1 Games
     37 B006LSZECO	Gone Girl: A Novel
