Books	13	25	19	52	211	320
Music	7	6	14	42	198	267
Electronics	3	2	3	17	43	68
Video DVD	0	0	0	0	6	6
Video	0	1	0	0	4	5
product_category	star_1	star_2	star_3	star_4	star_5	total
